"id","category_account_name","name","code","is_cash"
"1","Kas","Kas","1-10001","1"
"2","Bank","Rekening BCA","1-10002","1"
"3","Bank","Rekening Mandiri","1-10003","1"
"4","Akun Piutang","Piutang Usaha","1-10100","0"
"5","Akun Piutang","Piutang Belum Ditagih","1-10101","0"
"6","Akun Piutang","Cadangan Kerugian Piutang","1-10102","0"
"7","Persediaan","Persediaan Barang","1-10200","0"
"8","Aktiva Lancar Lainnya","Piutang Lainnya","1-10300","0"
"9","Aktiva Lancar Lainnya","Piutang Karyawan","1-10301","0"
"10","Aktiva Lancar Lainnya","Dana Belum Disetor","1-10400","0"
"11","Aktiva Lancar Lainnya","Aset Lancar Lainnya","1-10401","0"
"12","Aktiva Lancar Lainnya","Biaya Dibayar Di Muka","1-10402","0"
"13","Aktiva Lancar Lainnya","Uang Muka","1-10403","0"
"14","Aktiva Lancar Lainnya","PPN Masukan","1-10500","0"
"15","Aktiva Lancar Lainnya","Pajak Dibayar Di Muka - PPh 22","1-10501","0"
"16","Aktiva Lancar Lainnya","Pajak Dibayar Di Muka - PPh 23","1-10502","0"
"17","Aktiva Lancar Lainnya","Pajak Dibayar Di Muka - PPh 25","1-10503","0"
"18","Aktiva Tetap","Tanah","1-10700","0"
"19","Aktiva Tetap","Bangunan","1-10701","0"
"20","Aktiva Tetap","Building Improvements","1-10702","0"
"21","Aktiva Tetap","Kendaraan","1-10703","0"
"22","Aktiva Tetap","Mesin & Peralatan","1-10704","0"
"23","Aktiva Tetap","Perlengkapan Kantor","1-10705","0"
"24","Aktiva Tetap","Aset Sewa Guna Usaha","1-10706","0"
"25","Aktiva Tetap","Aset Tak Berwujud","1-10707","0"
"26","Depresiasi & Amortisasi","Akumulasi Penyusutan - Bangunan","1-10751","0"
"27","Depresiasi & Amortisasi","Akumulasi Penyusutan - Building Improvements","1-10752","0"
"28","Depresiasi & Amortisasi","Akumulasi penyusutan - Kendaraan","1-10753","0"
"29","Depresiasi & Amortisasi","Akumulasi Penyusutan - Mesin & Peralatan","1-10754","0"
"30","Depresiasi & Amortisasi","Akumulasi Penyusutan - Peralatan Kantor","1-10755","0"
"31","Depresiasi & Amortisasi","Akumulasi Penyusutan - Aset Sewa Guna Usaha","1-10756","0"
"32","Depresiasi & Amortisasi","Akumulasi Amortisasi","1-10757","0"
"33","Aktiva Lainnya","Investasi","1-10800","0"
"34","Akun Hutang","Hutang Usaha","2-20100","0"
"35","Kewajiban Lancar Lainnya","Hutang Belum Ditagih","2-20101","0"
"36","Kewajiban Jangka Panjang","Hutang Lain Lain","2-20200","0"
"37","Kewajiban Jangka Panjang","Hutang Gaji","2-20201","0"
"38","Kewajiban Jangka Panjang","Hutang Deviden","2-20202","0"
"39","Kewajiban Jangka Panjang","Pendapatan Diterima Di Muka","2-20203","0"
"41","Kewajiban Jangka Panjang","Sarana Kantor Terhutang","2-20301","0"
"42","Kewajiban Jangka Panjang","Bunga Terhutang","2-20302","0"
"43","Kewajiban Jangka Panjang","Biaya Terhutang Lainnya","2-20399","0"
"44","Kewajiban Jangka Panjang","Hutang Bank","2-20400","0"
"45","Kewajiban Jangka Panjang","PPN Keluaran","2-20500","0"
"46","Kewajiban Jangka Panjang","Hutang Pajak - PPh 21","2-20501","0"
"47","Kewajiban Jangka Panjang","Hutang Pajak - PPh 22","2-20502","0"
"48","Kewajiban Jangka Panjang","Hutang Pajak - PPh 23","2-20503","0"
"49","Kewajiban Jangka Panjang","Hutang Pajak - PPh 29","2-20504","0"
"50","Kewajiban Jangka Panjang","Hutang Pajak Lainnya","2-20599","0"
"51","Kewajiban Jangka Panjang","Hutang dari Pemegang Saham","2-20600","0"
"52","Kewajiban Jangka Panjang","Kewajiban Lancar Lainnya","2-20601","0"
"53","Kewajiban Jangka Panjang","Kewajiban Manfaat Karyawan","2-20700","0"
"54","Ekuitas","Modal Saham","3-30000","0"
"55","Ekuitas","Tambahan Modal Disetor","3-30001","0"
"56","Ekuitas","Laba Ditahan","3-30100","0"
"57","Ekuitas","Deviden","3-30200","0"
"58","Ekuitas","Pendapatan Komprehensif Lainnya","3-30300","0"
"59","Ekuitas","Ekuitas Saldo Awal","3-30999","0"
"60","Pendapatan","Pendapatan","4-40000","0"
