"id","name","detail_category_account_name","cash_flow"
"9b461c64-1e13-4e74-8874-ee3449a0744a","Kas","Aktiva","undefined"
"9b461c64-2663-46b7-8843-12ac16610a92","Bank","Aktiva","undefined"
"9b461c64-3217-4fee-8195-c3e20ce3c0e5","Akun Piutang","Aktiva","operasi"
"9b461c64-392c-44a0-8b56-2405c803cac9","Persediaan","Aktiva","operasi"
"9b461c64-416f-4019-ab9d-e128edd0019d","Aktiva Lancar Lainnya","Aktiva","operasi"
"9b461c64-47db-499a-861b-72f54f2239b3","Aktiva Tetap","Aktiva","operasi"
"9b461c64-54b3-48f4-85ed-58f37f9c37ac","Depresiasi & Amortisasi","Aktiva","investasi"
"9b461c64-60a0-4ab9-91e6-529e17fe25fe","Aktiva Lainnya","Kewajiban","operasi"
"9b461c64-69a4-41d8-9bb4-2219346cf8b0","Akun Hutang","Kewajiban","operasi"
"9b461c64-7141-4113-8d89-aa97fb5a9cf5","Kewajiban Lancar Lainnya","Kewajiban","operasi"
"9b461c64-769b-4d7f-a4ad-a73c37b0e155","Kewajiban Jangka Panjang","Kewajiban","operasi"
"9b461c64-7b2b-4f77-8eb1-573979f52259","Ekuitas","Modal","pendanaan"
"9b461c64-8089-4b67-9a49-098629804c46","Pendapatan","Pendapatan","operasi"
"9b461c64-85ac-47be-8fb1-d6f43eedca19","Harga Pokok Penjualan","Beban Pokok","operasi"
"9b461c64-8a52-4e9c-a904-f13634ae8faa","Beban","Beban","operasi"
"9b461c64-8dbb-4645-b70b-a6184a29585a","Pendapatan Lain","Pendapatan Lain","operasi"
"9b461c64-9164-4630-9612-2d84b9d8903f","Beban Lain-lain","Beban Lain","operasi"
