"sku_number","name","tipe_produk","quantity","hpp_average","selling_price"
"ACE","ACETIN 200MG CAP 30S","Obat","40","2400","2760"
"ACIF","ACIFAR 400MG TAB 30S","Obat","32","1111,44","1389,3"
"ACF","ACIFAR CR 5G","Obat","2","6553,44","8191,8"
"ACP","ALCO PLUS SYR 100ML","Obat","1","73500","77175"
"ACFB","ALCOFLU =~ BATUK SIRUP 100ML","Obat","5","42801,56","59922,184"
"ALD","ALDISA SR CAP 50S","Obat","0","5950","6842,5"
"ALF","ALERFED PLUS EXPECT SYR 60ML","Obat","4","28500","34200"
"ALRF","ALERFED SYR","Obat","50","18000","20700"
"AKH 1","ALKOHOL 70% 100ML","Obat","5","4500","5175"
"AKH 2","ALKOHOL 70% 300ML","Obat","2","11500","13225"
"AS","ALKOHOL SWAB ONESWABS","Obat","200","150","172,5"
"ALOGEL","ALOCLAIR PLUS GEL 8ML","Obat","1","94350","108502,5"
"ALOSP","ALOCLAIR PLUS SPRAY 15ML","Obat","2","95000","109045,1563"
"AMOX","AMOXSAN 125MG/5ML D SYR 60ML","Obat","10","22522,5","25961,25"
"AMOX 1","AMOXSAN 500MG CAP 100S","Obat","95","3300","3795"
"AMOXF","AMOXSAN F 250MG/5ML D SYR 60ML","Obat","5","31980","37736,4"
"AMOX 2","AMOXSAN PAED 100MG/ML DROP 15ML","Obat","5","22425","25788,75"
"PSIKO1","ANALSIK KAPLET 100S","Obat","190","1750","2012,5"
"ANCEF","ANCEFA 125MG/5ML D SYR 60ML","Obat","3","45000","53754,5454"
"APCS","APECUR SYR 100ML","Obat","5","45000","56250"
"APD","APETIC 100MG/ML DROP 15ML","Obat","5","27500","33000"
"APS","APETIC 120MG/5ML SUSP 60ML","Obat","6","30875","37050"
"APTF","APETIC FORTE 250MG/5ML SUSP 60ML","Obat","10","36100","43320"
"VIT 1","APIALYS DROP 10ML","Obat","2","45125","54150"
"VIT","APIALYS SYR 100ML","Obat","2","38000","45600"
"ABD","APIBAN DROP 15ML","Obat","2","118750","142500"
"ARC","ARCOXIA 90MG TAB 30S","Obat","30","17421,57","21428,5311"
"SABUN","ASEPSO SOAP 80G","Obat","3","7850","9027,5"
"AXTA","AXTAN 4MG CAP 30S","Obat","30","9700","11640"
"BAQ","BAQUINOR F 500MG TAB 20S","Obat","4","13900","15985"
"BAY","BAYCUTEN N CR 5G","Obat","2","58946,55","70735,86"
"BDM","BDM SIRUP 60ML","Obat","7","37000","45829,5455"
"BB","BEARBRAND RTD MILK","Obat","26","8830","10154,5"
"BCZ","BECOM ZET TAB 100S","Obat","130","2250","2587,5"
"BEN","BENOSON N CR 15G","Obat","0","33131,46","38101,179"
"BEN 1","BENOSON N CR 5G","Obat","3","16745","19867,6875"
"OBAT KUMUR","BETADINE GARGLE 190ML","Obat","1","34213,25","41055,9"
"BETA","BETASON N CR 5G","Obat","5","14355","18374,4"
"BIO","BIOCORT CR 10GR","Obat","1","22550,48","33825,72"
"BIOP","BIOPLACENTON GEL 15G","Obat","2","26418","34343,4"
"BOS","BIOSTRUM SYR 100ML","Obat","1","52250","62700"
"BNS","BNS BREATHY NASAL SPRAY 30ML","Obat","4","70400","95040"
"BOR 1","BORRAGINOL N OINT 15G","Obat","1","83982,6","99099,468"
"BOR","BORRAGINOL S OINT 15G","Obat","1","113053,5","133403,13"
"PSIKO","BRAXIDIN TAB 100S","Obat","177","1300","1495"
"BRON","BRONKIPECT SIRUP 60ML","Obat","3","37800","47250"
"BUF","BUFACOMB IN ORAL BASE CR 5G","Obat","4","25308","33416,55"
"IDE","BUFACOMB IN ORAL BASE CR 5G","Obat","0","14353","0"
"BSM KAP","BUSMIN 500MG CAP 10S STRIP 3S","Obat","120","7315","9278,50001"
"BMS","BUSMIN SIRUP 60ML","Obat","2","79475","103317,5"
"BBF 2","BYE BYE FEVER ANAK SACH 10S","Obat","12","9200","10580"
"BBF 1","BYE BYE FEVER BAYI SACH 10S","Obat","5","6450","7417,5"
"BBF 3","BYE BYE FEVER DWS SACH 10S","Obat","20","10570","12155,5"
"CENDO 3","C EYEFRESH EYE DROP 5ML","Obat","3","29134,58","34280,064"
"C GENT","C GENTA 0.3% EYE DROP 5ML","Obat","3","28630,09","35501,3116"
"CENDO 4","C MYCOS EYE DROP 5ML","Obat","5","18881","22657,2"
"CENDO","C STATROL EYE DROP 5ML","Obat","2","17337,5","20805"
"CENDO 1","C XITROL EYE DROP 5ML","Obat","6","29900","35580,99996"
"CENDO 2","C XITROL EYE OINT 3.5G","Obat","3","34081","40897,2"
"CALD","CALADINE LOT 95ML","Obat","1","21743,79","26092,548"
"CALP","CALADINE POWDER ORIG 100G","Obat","2","15490,6","18588,72"
"CPS","CALNIC PLUS SUSP 100ML","Obat","16","77000","98039,11767"
"CAP","CAPRITAZIN 10MG/ML DROP 20ML","Obat","7","55000","64533,33336"
"CAT","CATAFLAM 50MG TAB 50S","Obat","50","6680,78","7816,5126"
"CFR","CEFAROX 100 MG","Obat","100","23000","27600"
"CFRX1","CEFAROX DRY SYR","Obat","12","96250","115500"
"CEF","CEFAT 125MG/5ML D SYR 60ML","Obat","0","46250","53187,5"
"CEF1","CEFAT 250MG CAP 100S","Obat","50","5460","6442,8"
"ATB","CEFILA 100MG/5ML D SYR 30ML","Obat","1","95000","113481,8182"
"CPT","CEPTIK DRY SYR 30ML","Obat","4","126250","170437,5"
"CER","CERINI 10MG TAB 20S","Obat","15","3802,5","4395,3"
"CERD","CERINI 10MG/ML DROP 20ML","Obat","2","71300","81995"
"CESB","CESSA BABY HAPPY NOSE 8ML","Obat","5","28900","33235"
"CESK2","CESSA KIDS HAPPY NOSE 8ML","Obat","5","24600","28290"
"CET","CETIRGI 5MG/5ML SYR 60ML","Obat","1","57000","68400"
"CFRX","CFERAOX DRY SYR","Obat","0","96250","0"
"CLN","CLANEKSI 125MG/5ML D SYR 60ML","Obat","2","57086,25","65649,1875"
"CLN 1","CLANEKSI F 250MG/5ML D SYR 60ML","Obat","2","75757,5","87121,125"
"ATB 1","CLINMAS 150MG CAP 30S","Obat","30","4275","5130"
"CLC","CLINMAS 300MG CAPS 30S","Obat","30","8075","9690"
"CLNV","CLINOVIR CR 5GR","Obat","2","31590","37276,2"
"COBZ","COBAZIM 1000MCG CAP 100S","Obat","577","4041,95","5052,4375"
"COBZ1","COBAZIM 3000MCG CAP 100S","Obat","290","9304,68","11630,85"
"NARKOTIKA","CODIKAF TAB 15MG 100S","Obat","493","1837,5","2113,125"
"CDS","COLTIN DRY SIRUP 60ML","Obat","5","45980","55176"
"CJS","COMBANTRIN JERUK SUSP 10ML","Obat","0","18777,64","22157,6152"
"CORT","CORTIDEX 0.5MG TAB 100S","Obat","82","341,25","394,8479"
"CTM","CTM PIM 4MG TAB 12S STRIP 24S","Obat","181","68,06","98,687"
"CTZ","CTZ DROPS 10ML","Obat","5","45000","56250"
"CTZ 1","CTZ SIRUP 5MG/5ML 60ML","Obat","91","55000","79750"
"DZD","DARYAZINC 27.5MG/ML DROPS 15ML","Obat","2","30972,37","36857,1203"
"DZS","DARYAZINC 55MG/5ML SYR 60ML","Obat","11","32500","40625"
"DUG","DERMATIX ULTRA GEL 5G","Obat","0","108613,5","130336,2"
"DTS","DESTAVELL TABLET 30S","Obat","70","7333,33","9899,9955"
"DHA","DHAEPA 30S SOFT KAPSUL","Obat","60","12900","16125"
"DIA","DIAGIT TAB 10S STRIP 10S","Obat","382","3040","3800"
"DIC","DIGENTA CR 10G","Obat","2","79648,12","99560,15"
"DISU","DISUDRIN PED 15MG/5ML SYR 60ML","Obat","3","32139,45","40174,3125"
"DISU1","DISUDRIN PED 7.5MG/0.8ML DROP 10ML","Obat","9","40800","51000"
"DUL","DULCOLACTOL SYR 60ML","Obat","2","70032,51","84039,012"
"DUL 1","DULCOLAX SUPP ADULT 5S","Obat","5","28002,67","33603,204"
"EFL","EFLAGEN 50MG TAB 50S","Obat","50","2300","2645"
"EPX","EPEXOL 30MG TAB 100S","Obat","107","925","1052,570505"
"EDS","ERDOMEX 175MG SIRUP KERING 60ML","Obat","4","50000","61458,33338"
"EPT","ERLAMYCETIN PLUS EYE DROP 5ML","Obat","4","16605,6","22417,56"
"ERYSA","ERYSANBE 200MG/5ML D SYR 60ML","Obat","2","27056,25","31314,14063"
"ERYS","ERYSANBE CHEW 200MG TAB 100S","Obat","100","2000","2300"
"GERD","EZOCON 20MG KAPLET 30S","Obat","0","13200","17820"
"GERD 1","EZOCON 40MG KAPLET 30S","Obat","30","18000","24300"
"FEM","FEMISIC 500MG TAB 100S","Obat","277","1425","1710"
"FEN","FENATIC 100MG/5ML SUSP 60ML","Obat","0","31350","36263,3333"
"FD","FEROSFER DROPS 15ML","Obat","2","33150","43095"
"FS","FEROSFER SUSP 120ML","Obat","2","41000","51301,25"
"FERK","FERRO K DROP 15ML","Obat","2","31500","39375"
"FER","FERVIT STRAW DROP 15ML","Obat","5","42750","51300"
"FTH","FG TROCHES MEIJI TAB 120S","Obat","8","15037,42","18496,0266"
"FLAM","FLAMSY 50MG TAB 30S","Obat","30","1950","2437,5"
"FU","FLUIMUCIL 600MG EFF 10S","Obat","20","16729,92","19908,6048"
"FTV","FLUTIVEL NASAL SPRAY 120 DOSIS","Obat","10","110000","148500"
"FCX","FORCANOX 100MG CAP 18S","Obat","18","21090","25308"
"FORKAP","FORLIV KAPSUL 30S","Obat","60","5500","6600"
"FORSUP","FORLIV SIRUP 60ML","Obat","10","55000","66000"
"FORMY","FORMYCO 200MG TAB 50S","Obat","45","5700","6555"
"FRD","FORTI D 400IU SYR 100ML","Obat","4","24438,75","28593,3375"
"FORU","FORUMEN EAR DROP 10ML","Obat","3","28900","33235"
"FUCO","FUCOTRAP 50MG CAP 20S","Obat","40","9900","11880"
"CRM 1","FULADIC 2% CR 5G","Obat","4","55100","66120"
"CRM","FUNGASOL 2% CR 10G","Obat","1","26600","31920"
"GP","GP RL INFUS SOFT BAG 500ML","Obat","12","8559","9842,85"
"GMK","GRAMILAC KAPLET 60S","Obat","140","3850","4897,75"
"HSK","HANSAPLAST ANAK KARAKTER","Obat","6","13500","15525"
"HEP","HEPTASAN 4MG TAB 100S","Obat","254","403,75","476,376575"
"HERB","HEROCYN BABY PWD 100G","Obat","1","7548","8680,2"
"HER","HEROCYN PWD 150G","Obat","2","15873","18253,95"
"HER 1","HEROCYN PWD 85G","Obat","2","11322","13020,3"
"HI-CUR","HI-CUR 500 MG 30S KAPSUL","Obat","216","14000","17015,06025"
"HI-KID","HI-KID BUBBLE GUM TAB 30S","Obat","30","5250","6562,5"
"HIS","HISPAMIN 10MG TAB 100S","Obat","50","2375","2850"
"HEK","HOLISTICARE SUPER ESTER C KIDS CHEW TAB 30S BTL","Obat","2","37583,49","43972,6833"
"HEC","HOLISTICARE SUPER ESTER C TAB 30S BTL","Obat","2","44436,63","51990,8571"
"HDC","HYDRO COCO ORIGINAL","Obat","1","5400","6210"
"HDC V","HYDRO COCO VITA-D 330 ML","Obat","2","7850","9027,5"
"IMBOOST","IMBOOST FORCE FCT CAPL 30S","Obat","10","6577,69","7893,228"
"IMUN","IMUNKID DROP 15 ML","Obat","16","51000","62687,5"
