"sku number","name","tipe produk","quantity","hpp average","selling price","Principle"
"ABD","APIBAN DROP 15ML","Obat","0","118750","142500","LAPI LABORATORIES"
"ACE","ACETIN 200MG CAP 30S","Obat","70","2400","2760","SANBE FARMA"
"ACF","ACIFAR CR 5G","Obat","2","6553,44","8191,8","IFARS"
"ACFB","ALCOFLU =~ BATUK SIRUP 100ML","Obat","5","42801,56","59922,184","INTERBAT"
"ACFR","ACIFAR 200 MG 100SS","Obat","140","614,1","767,625","KITA BERSATU"
"ACIF","ACIFAR 400MG TAB 30S","Obat","12","1111,44","1389,3","IFARS"
"ACP","ALCO PLUS SYR 100ML","Obat","1","73500","77175","INTERBAT"
"AIT","VAKSIN INFLUVAC TETRA SH","Obat","10","199100","268785","ABBOT"
"AKH 1","ALKOHOL 70% 100ML","Obat","5","4500","5175","ONE MED"
"AKH 2","ALKOHOL 70% 300ML","Obat","2","11500","13225","ONE MED"
"ALD","ALDISA SR CAP 50S","Obat","0","5950","6842,5","SANBE FARMA"
"ALF","ALERFED PLUS EXPECT SYR 60ML","Obat","4","28500","34200","GUARDIAN"
"ALOGEL","ALOCLAIR PLUS GEL 8ML","Obat","4","85000","99900,5","ENSEVAL"
"ALOSP","ALOCLAIR PLUS SPRAY 15ML","Obat","5","95000","109250","KALBE"
"ALRF","ALERFED SYR","Obat","40","18000","20700","GUARDIAN"
"AMOX","AMOXSAN 125MG/5ML D SYR 60ML","Obat","10","22522,5","25961,25","SANBE FARMA"
"AMOX 1","AMOXSAN 500MG CAP 100S","Obat","95","3300","3795","SANBE FARMA"
"AMOX 2","AMOXSAN PAED 100MG/ML DROP 15ML","Obat","8","23000","26450","SANBE FARMA"
"AMOXF","AMOXSAN F 250MG/5ML D SYR 60ML","Obat","5","31980","37736,4","SANBE FARMA"
"ANCEF","ANCEFA 125MG/5ML D SYR 60ML","Obat","9","45000","54000","MEPRO"
"APCS","APECUR SYR 100ML","Obat","7","45000","56250","SIMEX PHARMACEUTICAL"
"APD","APETIC 100MG/ML DROP 15ML","Obat","3","27500","33000","LAPI LABORATORIES"
"APS","APETIC 120MG/5ML SUSP 60ML","Obat","5","30875","37050","LAPI LABORATORIES"
"APTF","APETIC FORTE 250MG/5ML SUSP 60ML","Obat","10","36100","43320","LAPI LABORATORIES"
"ARC","ARCOXIA 90MG TAB 30S","Obat","30","17421,57","21428,5311","MSD"
"AS","ALKOHOL SWAB ONESWABS","Obat","200","150","172,5","ONE MED"
"ATB","CEFILA 100MG/5ML D SYR 30ML","Obat","9","95000","114000","LAPI LABORATORIES"
"ATB 1","CLINMAS 150MG CAP 30S","Obat","30","4275","5130","LAPI LABORATORIES"
"ATB 2","LAPIMOX 500MG TAB 100S","Obat","100","3325","3990","LAPI LABORATORIES"
"AVAX","VAKSIN AVAXIM 80U PEDIATRIC","Obat","6","306826","383532,5","SANOFI"
"AXTA","AXTAN 4MG CAP 30S","Obat","30","9700","11640","SOLAS"
"BALSEM","MAXTUSIVE CARE BABY CR 20GR","Obat","2","54000","67500","PENTA VALENT"
"BALSEM 2","MAXTUSIVE CARE KIDS CR 20GR","Obat","3","54000","62100","PENTA VALENT"
"BAQ","BAQUINOR F 500MG TAB 20S","Obat","4","13900","15985","SANBE FARMA"
"BAY","BAYCUTEN N CR 5G","Obat","2","58946,55","70735,86","BAYER"
"BB","BEARBRAND RTD MILK","Obat","22","8830","10154,5","ENSEVAL"
"BBF 1","BYE BYE FEVER BAYI SACH 10S","Obat","2","6450","7417,5","ONE MED"
"BBF 2","BYE BYE FEVER ANAK SACH 10S","Obat","12","9200","10580","ONE MED"
"BBF 3","BYE BYE FEVER DWS SACH 10S","Obat","20","10570","12155,5","ONE MED"
"BCZ","BECOM ZET TAB 100S","Obat","90","2250","2587,5","SANBE FARMA"
"BDM","BDM SIRUP 60ML","Obat","2","37000","45829,5455","PENTA VALENT"
"BEN","BENOSON N CR 15G","Obat","0","37740","43401","BERNOFARM"
"BEN 1","BENOSON N CR 5G","Obat","3","16745","19867,6875","BERNOFARM"
