"LOINC_NUM","LONG_COMMON_NAME"
"100000-9","Health informatics pioneer and the father of LOINC"
"100001-7","Health informatics pioneer and cofounder of LOINC"
"100002-5","Specimen care is maintained"
"100003-3","Team communication is maintained throughout care"
"100004-1","Demonstrates knowledge of the expected psychosocial responses to the procedure"
"100005-8","Demonstrates knowledge of nutritional management related to the procedure"
"100006-6","Demonstrates knowledge of medication management"
"100007-4","Demonstrates knowledge of pain management"
"10000-8","R wave duration in lead AVR"
"100008-2","Demonstrates knowledge of wound management"
"100009-0","Demonstrates knowledge of the procedure and expected results"
"100010-8","No injury related to procedure equipment, medical supplies, or instrumentation"
"100011-6","No injury related to an electrical source"
"100012-4","Participates in decisions affecting the patient's plan of care"
"100013-2","Participates in the discharge process"
"100014-0","Psychosocial health is maintained at or improved from baseline"
"100015-7","No injury related to positioning due to care or procedure"
"10001-6","R wave duration in lead I"
"100016-5","No injury related to a laser source"
"100017-3","Perioperative nursing data set outcomes panel [PNDS]"
"100018-1","Hospice care Note"
"100019-9","ALK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100020-7","GNA11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100021-5","GNAQ gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100022-3","IDH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100023-1","IDH2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"10002-4","R wave duration in lead II"
"100024-9","SETBP1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100025-6","SRSF2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100026-4","MET gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100027-2","SMAD4 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100028-0","FBXW7 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"100029-8","Cancer related multigene analysis in Plasma cell-free DNA by Molecular genetics method"
"100030-6","Axis I: Temporal aspects score [Mainz Pain Staging System]"
"100031-4","Axis II: Spatial aspects score [Mainz Pain Staging System]"
"10003-2","R wave duration in lead III"
"100032-2","Axis III: Drug taking behavior score [Mainz Pain Staging System]"
"100033-0","Axis IV: Utilization of the health care system score [Mainz Pain Staging System]"
"100034-8","Provider of automated external defibrillator use"
"100035-5","Exam finding location of Chest"
"100036-3","Exam finding location of Lung"
"100037-1","Patient contact disposition EMS unit"
"100038-9","Patient evaluation disposition EMS unit"
"100039-7","Crew disposition for patient care EMS unit"
"10004-0","R wave duration in lead V1"
"100040-5","Patient transport disposition EMS unit"
"100041-3","Aminoglycoside [Susceptibility]"
"100042-1","Atovaquone [Susceptibility]"
"100043-9","Azithromycin+Ethambutol [Susceptibility]"
"100044-7","Cefcapene [Susceptibility]"
"100045-4","Cefozopran [Susceptibility]"
"100046-2","Cefquinome [Susceptibility]"
"100047-0","Cefteram [Susceptibility]"
"100048-8","Clarithromycin+Ethambutol [Susceptibility]"
"100049-6","Eravacycline [Susceptibility]"
"100050-4","Erythromycin+Ethambutol [Susceptibility]"
"100051-2","Ethambutol+rifAMPin [Susceptibility]"
"100052-0","Flomoxef [Susceptibility]"
"100053-8","Fluoroquinolone [Susceptibility]"
"100054-6","Gamithromycin [Susceptibility]"
"100055-3","Optochin [Susceptibility]"
"100056-1","Panipenem [Susceptibility]"
"10005-7","R wave duration in lead V2"
"100057-9","Prothionamide [Susceptibility]"
"100058-7","Prulifloxacin [Susceptibility]"
"100059-5","Rifapentine [Susceptibility]"
"100060-3","Tildipirosin [Susceptibility]"
"100061-1","Tosufloxacin [Susceptibility]"
"100062-9","Standard Dermatology Outcome Measures panel"
"100063-7","Primary skin concern"
"100064-5","Itch severity Reporting Period - Reported"
"10006-5","R wave duration in lead V3"
"100065-2","Satisfied with treatment"
"100066-0","Specular microscopy panel"
"100067-8","Eye Image magnification"
"100068-6","Right eye Fixation point [Angle]"
"100069-4","Left eye Fixation point [Angle]"
"100070-2","Right cornea Cell density"
"100071-0","Left cornea Cell density"
"100072-8","Right cornea Coefficient of variation"
"10007-3","R wave duration in lead V4"
"100073-6","Left cornea Coefficient of variation"
"100074-4","Right cornea Hexagonality"
"100075-1","Left cornea Hexagonality"
"100076-9","Right cornea Endothelial cells counted"
"100077-7","Left cornea Endothelial cells counted"
"100078-5","Right cornea Endothelial cell area.min"
"100079-3","Left cornea Endothelial cell area.min"
"100080-1","Right cornea Endothelial cell area.max"
"10008-1","R wave duration in lead V5"
"100081-9","Left cornea Endothelial cell area.max"
"100082-7","Right cornea Endothelial cell area.mean"
"100083-5","Left cornea Endothelial cell area.mean"
"100084-3","Right cornea Cell area.standard deviation"
"100085-0","Left cornea Cell area.standard deviation"
"100086-8","Right cornea Type of Analysis method by Specular microscopy"
"100087-6","Toxocara canis 24-35kD IgG Ab [Presence] in Serum by Immunoblot"
